Comment,Description,Footprint,Designator,Quantity,Fitted,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1,Supplier Currency 1
"R060-03572-01","RES 0603 35.7K 1% 100mW","PCB_GENERIC_SMD_0603","R132","1","Fitted","","","","","","",""
"R78E-1.0 DC/DC","","R78-1.0","U100","0","Not Fitted","","","","","","",""
"resistor_sense_1mOhm_2512","1mOhm Current Sense","RESC6432X11N","R122","1","Fitted","Panasonic ECG","ERJ-M1WTF1M0U","Digi-Key","P1.0NDCT-ND","0.55","0.55","USD"
"RT9818C-29GV","IC VOLT DETECTOR 2.9V SOT23-3","SOT95P279X129-3N","U107","1","Fitted","Richtek","RT9818C-29GV","Digi-Key","1028-1020-1-ND","0.40","0.4","USD"
"SCH_MLX_1X2","","PCB_MLX_MICROFIT_1X2","P105","0","Not Fitted","","","","","","",""
"SCH_MLX_MICROFIT_3X2","","PCB_MLX_MICROFIT_3X2","P102, P103","0","Not Fitted","","","","","","",""
"Si8631AB-B-IS1","2/1 Channel Digital Isolator","SOIC127P600X175-16N","U105","1","Fitted","Silicon Labs","Si8631AB-B-IS1","Digi-Key","SI8631AB-B-IS1-ND","1.40","1.4","USD"
"SMT, shrouded","ARM Cortex-M 10pin connector,shrouded,SMT","CONN-50mil-10POS-SMD","J100","1","Fitted","CNC Tech","3220-10-0300-00","Digi-Key","1175-1629-ND","0.61","0.61","USD"
"SN65HVD1050DR","IC EMC CAN TRANSCEIVER 8-SOIC","SOIC127P600X175-8N","U101","1","Fitted","Texas Instruments","SN65HVD1050DR","Digi-Key","296-26335-1-ND","1.22","1.22","USD"
"SPST-NO Solid State Relay","SPST-NO Solid State Relay","SPST-NO Solid State Relay - IXYS","K100","1","Fitted","","","","","","",""
"STM32F407VGT6","ARM Cortex-M4 32-bit MCU+FPU, 210 DMIPS, 1024 kB Flash, 192 kB Internal RAM, 82 I/Os, 100-pin LQFP, -40 to 85 degC, Tray","STM-LQFP100_N","U103","1","Fitted","STMicroelectronics","STM32F407VGT6","Digi-Key","497-11605-ND","12.74","12.74","USD"
"Tactile Switch","","C&K 4 pin Tactile Switch","S100, S101, S102","3","Fitted","ITT C&K","PTS645SH50SMTR92LFS","Digi-Key","CKN9085CT-ND","0.21","0.63","USD"
"TI_SN74LV08A","AND GATE 4CH 2IN SOIC14","SOIC127P600X175-14N","U113","1","Fitted","Texas Instruments","SN74LV08ADR","Digikey","296-26531-6-ND","0.36","0.36","USD"
"TPS73733DRV","IC REG LDO 3.3V 1A 6SON","SON65P200X80_HS-7M","U102","1","Fitted","Texas Instruments","TPS73733DRVR","Digikey","296-40960-1-ND","1.59","1.59","USD"
"TVS_14V_UNI","TVS DIODE 14VWM 23.2VC SMF","SODFL370X108-2N","D3A, D3B, D3C, D3D, D4A, D4B, D4C, D4D, D100, D102, D115, D116, D119","13","Fitted","Vishay Semiconductors","SMF14A-E3-08","Digi-Key","SMF14A-E3-08GICT-ND","0.363","4.719","USD"
"X-Out/Skip Mark","X-Out/Skip Mark for bad board/do not populate","SKIP20-NOCOPPER","SKIP1","0","Not Fitted","","","","","","",""
